7.245803251270024337e-01 6.224139203466620973e-01 7.039536057469419905e-01
8.358193647609534205e-01 7.572340445152702104e-01 8.073584741375749996e-01
8.729004522260993548e-01 8.028619621553978458e-01 8.397739861615738377e-01
9.004213522187283214e-01 8.417610777834148017e-01 8.730684820573766380e-01
9.222910819806755534e-01 8.757018474476337966e-01 9.028851182650462492e-01
9.405046711725930653e-01 9.032296645446703520e-01 9.239962693960792617e-01
9.532448350977742457e-01 9.242299450900399727e-01 9.403080967110941657e-01
9.612496052459156282e-01 9.381135922003381866e-01 9.518162267549103994e-01
9.665504061689155213e-01 9.473657876286212254e-01 9.591774779263528838e-01
9.692420306144242659e-01 9.530680111812115385e-01 9.627937852159862420e-01
9.719318702991354142e-01 9.617583969576710690e-01 9.657270204318164630e-01
9.719318702991354142e-01 9.617583969576710690e-01 9.657270204318164630e-01
9.719318702991354142e-01 9.617583969576710690e-01 9.657270204318164630e-01
