name,mass,mass_error,star_luminosity,star_luminosity_error,temp_eq,temp_eq_error,semi_major_axis,semi_major_axis_error,star_mass,star_mass_error,star_radius,star_radius_error,star_teff,star_teff_error,radius,radius_error
MASCARA-4 Ab,532.3625810460803,76.59664598931663,12.242517067171638,1.8826720679730717,2403.9730015417613,137.86360886919974,0.047,0.004,1.75,0.05,1.92,0.11,7800.0,200.0,17.14974051833618,0.6164939402016274
NGTS-15 b,238.68913335260078,30.193698626494104,0.8030428273450392,1.5176161097538745,1255.9611836829847,596.9934342409985,0.0441,0.0046,0.995,0.3,0.954,0.9,5600.0,150.0,12.32987880403255,1.120898073093868
TOI-1278 b,5879.8255220014835,158.9142032973374,0.061358716732472826,0.0037373138723072433,449.91168733973,7.248635846488051,0.095,0.001,0.55,0.02,0.573,0.012,3799.0,42.0,12.217788996723163,2.4659757608065096
TOI-1431 b,997.9811967072789,60.38739725298821,11.566385596481172,2.1294398983882603,2370.100445738487,120.17912632754734,0.047,0.002,1.9,0.1,1.92,0.07,7690.0,325.0,16.90314294225553,0.6949568053181981
TOI-1518 b,581.6259840682549,149.37935109949714,9.688365470627994,0.7136655529378249,2551.3786017424363,54.4377816007558,0.03712,0.0008,1.79,0.26,1.95,0.048,7300.0,100.0,21.050465812702843,0.47077719069942464
TOI-1820 Ab,731.0053351677519,93.36209443718573,2.2114366303664976,0.19192548161466486,1293.764957897296,469.5951706666838,0.069,0.05,1.04,0.13,1.51,0.06,5734.0,50.0,12.554058418651323,0.22417961461877361
TOI-2005 b,2034.1018022059188,1017.0509011029594,9.461297710494634,1.6971640181527454,1291.7129819062973,102.27298600147186,0.16,0.02,1.59,0.017,2.02,0.16,7130.0,150.0,11.993609382104388,0.8967184584750945
TOI-2202 b,310.83618164959194,19.38753280227516,0.39603602648048264,0.016907397667508674,714.8593003300559,9.648500153907381,0.09564,0.00158,0.823,0.025,0.794,0.007,5144.0,50.0,11.20898073093868,3.3626942192816043
TOI-2379 b,1830.6916219853267,63.56568131893496,0.06512737486034298,0.004585530234224321,623.1430310235505,12.196629578461268,0.05263,0.0009,0.645,0.033,0.62,0.01,3707.0,58.0,11.724593844561861,0.25780655681158965
TOI-2384 Ab,624.8506473651306,19.069704395680485,0.08096165526255439,0.0024118484576522545,889.7716792702663,7.354057985562581,0.0279,0.0002,0.635,0.016,0.611,0.008,3943.0,14.0,11.489205249212146,0.22417961461877361
TOI-2431 b,6.197653928596158,1.2077479450597641,0.10839179094669611,0.004938418891099509,2014.1400194139567,27.961380260554158,0.0063,0.0001,0.661,0.0225,0.651,0.012,4109.0,27.5,1.5359666295605277,0.030264247973534438
TOI-2537 b,413.17692857307725,28.60455659352073,0.2926369599482578,0.03800480491209986,342.2392257035078,11.794492468217657,0.3715,0.008,0.77,0.05,0.77,0.05,4843.0,0.08,11.20898073093868,0.6725388438563208
TOI-3688 Ab,311.4718384627813,34.96112472541423,1.9062492303577225,0.35027688074483654,1533.110063249232,72.21589676898793,0.0456,0.00095,1.2,0.123,1.302,0.1,5950.0,150.0,13.080880513005441,538.0310750850567
TOI-4201 b,822.8577446736131,20.976674835248538,0.0814361993919754,0.00669830089123083,750.3800789806761,15.895861038398484,0.03939,0.0004,0.63,0.02,0.62,0.02,3920.0,50.0,12.699775168153526,0.2690155375425283
TOI-4487 Ab,397.2855082433435,50.85254505514797,3.5533749741476486,1.2505701024235258,1638.9003414590982,144.77044418398376,0.05448,0.000855,1.378,0.0645,1.634,0.046,6206.0,539.0,14.6053018924131,0.7453972186074223
TOI-4773 b,1687.668839017723,111.23994230813616,4.448287334221908,0.6500219868821262,2255.0326104048454,85.01843642304898,0.0322,0.0006,1.452,0.0785,1.55,0.046,6740.0,225.0,15.244213794076607,0.560449036546934
TOI-6255 b,1.439762681873877,0.1398444989016569,0.016823083280164165,0.0017019129667228971,1365.4957542799348,923.6198635613805,0.0054,0.0073,0.353,0.015,0.37,0.011,3421.0,70.0,1.0789764851601573,0.06501208823944435
TOI-6303 b,2491.7747077022505,98.52680604434919,0.08351642274331816,0.007442657847889664,543.3363103391357,12.62187331311585,0.076,0.001,0.64,0.02,0.61,0.02,3977.0,60.0,11.545250152866842,0.6725388438563208
TOI-6324 b,1.1696085362684032,0.2193016005503256,0.00943705082764888,0.001022613787075269,1321.2288110632103,36.02996530716846,0.00432,2.7e-05,0.269,0.012,0.293,0.01,3327.0,70.0,1.0590244994590865,0.04102486947523557
TOI-6330 b,3178.284065946748,95.34852197840243,0.033791250245632606,0.002674626187568249,505.4399516605081,10.540194543409644,0.0576,0.00075,0.53,0.02,0.49,0.01,3539.0,60.0,10.87271130901052,0.3362694219281604
TRAPPIST-1 b,0.858136697805622,0.731005335167752,0.0005274987498449445,5.793017264490729e-05,400.5983577170662,12.591288892642599,0.01111,0.00034,0.08,0.007,0.117,0.004,2560.0,55.0,1.0860381430206487,0.003474784026590991
TRAPPIST-1 c,1.3793752846208887,0.6038739725298821,0.0005274987498449445,5.793017264490729e-05,342.3746387165875,10.786145879248883,0.01521,0.00047,0.08,0.007,0.117,0.004,2560.0,55.0,1.0559980746617332,0.003474784026590991
TRAPPIST-1 d,0.4131769285730772,0.2701541456054736,0.0005274987498449445,5.793017264490729e-05,288.3724741044083,9.027693077904289,0.02144,0.000645,0.08,0.007,0.117,0.004,2560.0,55.0,0.7722987723616751,0.030264247973534438
TRAPPIST-1 e,0.6356568131893496,0.5720911318704146,0.0005274987498449445,5.793017264490729e-05,251.57885007454576,7.881334601672998,0.02817,0.0008500000000000001,0.08,0.007,0.117,0.004,2560.0,55.0,0.9180155218638779,0.03923143255828538
TRAPPIST-1 f,0.667439653848817,0.1811621917589646,0.0005274987498449445,5.793017264490729e-05,219.22226883392196,6.840678386365526,0.0371,0.0011,0.08,0.007,0.117,0.004,2560.0,55.0,1.0450132735454132,0.03811053448519151
TRAPPIST-1 g,1.3412358758295275,0.8899195384650894,0.0005274987498449445,5.793017264490729e-05,198.82827296371437,6.270796711177698,0.0451,0.0014,0.08,0.007,0.117,0.004,2560.0,55.0,1.1265025634593375,0.04147322870447312
WASP-101 b,158.9142032973374,1.2713136263786993,2.5048929273075453,0.23192231586883927,1573.8643157180206,635.6674724306259,0.0496,0.04,1.34,0.07,1.29,0.04,6400.0,110.0,15.244213794076607,0.44835922923754723
WASP-116 b,203.41018022059188,44.495976923254474,2.78387012477769,0.3347265471930379,1411.6154388767686,328.50935764858167,0.065,0.03,1.25,0.08,1.426,0.064,6250.0,125.0,13.67495649174519,0.6725388438563208
WASP-172 b,149.37935109949714,31.78284065946748,7.4191294266698415,1.009820875609532,1745.4979253397635,60.71183153693505,0.0694,0.001,1.49,0.07,1.91,0.1,6900.0,150.0,17.59809974757373,1.120898073093868
WASP-178 b,448.1380532984914,149.37935109949714,16.21706455575799,9.165457591523976,2366.937537580819,335.1045299038328,0.0558,0.001,1.93,0.15000000000000002,1.801,0.485,8640.0,370.0,21.74542261802104,0.6613298631253821
WASP-189 Ab,632.4785291234028,47.67426098920122,19.910989062885957,2.2756602258530747,2618.239645400985,79.00177545821431,0.05053,0.00098,1.887,0.057,2.33,0.12,7996.0,99.0,18.147339803389723,0.23538859534971232
WASP-33 Ab,889.9195384650893,168.44905549517765,5.609848274390024,0.6615094501353759,2681.0094457853843,79.9494628501241,0.02558,0.00023,1.495,0.031,1.444,0.034,7400.0,200.0,17.967996111694706,0.15692573023314152
WASP-34 b,184.34047582491135,286.0455659352073,0.8191344094564899,0.18529956186561075,1135.6116087622106,76.55905380591362,0.0545,0.004,1.01,0.07,0.93,0.1,5700.0,100.0,14.123315720982738,1.0088082657844812
