name,mass,mass_error,star_luminosity,star_luminosity_error,temp_eq,temp_eq_error,semi_major_axis,semi_major_axis_error,star_mass,star_mass_error,star_radius,star_radius_error,star_teff,star_teff_error,radius,radius_error
CoRoT-36 b,216.12331648437888,182.751333791938,4.252431071271,0.9108357557336797,1557.3928920760056,117.36994030895107,0.066,0.007,1.32,0.09,1.52,0.15000000000000002,6730.0,140.0,15.804662830623538,1.5692573023314154
CoRoT-3 b,6884.163286840656,317.8284065946748,3.8593590699380624,0.5084562416014827,1635.6945406349528,68.95841803857866,0.057,0.003,1.36,0.223,1.525,0.088,6558.0,104.178,13.338687069817029,1.120898073093868
CoRoT-4 b,228.83645274816584,25.426272527573985,1.7419999040678036,0.11323537671568398,1066.9685351770506,18.324289377853027,0.09,0.001,1.1,0.02,1.15,0.03,6190.0,60.0,13.338687069817029,0.560449036546934
CoRoT-5 b,148.42586587971314,11.282908434110954,1.7473446236922408,0.139423512151936,1441.7037758532085,29.097199531624888,0.04947,0.00029,1.0,0.02,1.186,0.04,6100.0,65.0,14.907944372148446,0.526822094354118
CoRoT-6 b,940.7720835202374,108.06165824218944,1.2966021914283432,0.08877315197698453,1018.063967030447,19.62291451608531,0.0855,0.0015,1.055,0.055,1.025,0.026,6090.0,70.0,13.069671532274501,0.39231432558285384
CoRoT-7 Ab,6.060987713760448,0.6515482335190834,0.541112565226753,0.05796750944616163,1825.3911042573936,51.39908563434519,0.0172,0.00029,0.93,0.03,0.87,0.04,5313.0,73.0,1.5244213794076606,1.1769429767485615
CoRoT-8 b,68.58737014313081,10.806165824218944,0.3542632882828881,0.028925349171474605,856.3910067370681,18.755767813989003,0.063,0.001,0.88,0.04,0.77,0.02,5080.0,80.0,6.380151832050298,0.21969602232639812
CoRoT-9 Ab,266.9758615395268,22.247988461627237,0.7936621411231635,0.0812465157929944,413.1344594378094,10.887352332677839,0.407,0.005,0.99,0.04,0.94,0.04,5625.0,80.0,10.53644188708236,0.44835922923754723
G 9-40 b,4.131769285730772,0.6293002450574561,0.010833156942551263,0.0008124145406614471,439.65442966189937,8.903482137107952,0.0418,0.00064,0.29,0.02,0.31,0.01,3348.0,32.0,1.905526724259576,0.06501208823944435
GJ 1132 b,1.6590642824242023,0.22883645274816586,0.004395634278861769,0.0010141038437914687,578.1038515141057,43.63985551497399,0.0154,0.0015,0.181,0.019,0.207,0.016,3270.0,140.0,1.1601295056521534,0.10984801116319906
GJ 1214 b,8.171368333549088,0.429068348902811,0.003509724659011212,0.0007977292698251161,576.3346989035267,33.87172602593762,0.01411,0.00032,0.15,0.011,0.216,0.012,3026.0,150.0,2.7420529562095295,0.05301847885733996
GJ 1245 Ab,10647.251620921605,6515.4823351908335,0.0016278167660841582,0.0003571043258903606,40.88413397781146,2.303956462621651,1.93,0.05,0.135,0.02,0.1641,0.00536,2865.0,150.0,9.751813235916652,0.44835922923754723
GJ 143 b,22.69294823085978,2.0499932225356523,0.22161925592784262,0.020046731324370775,436.8804276672897,10.017167238921584,0.1932,0.0002,0.76,0.007,0.73,0.01,4640.0,100.0,2.610571612235619,0.16533246578134553
GJ 3090 b,3.340376553310032,0.7214704829699118,0.03819761634849079,0.0038285246437794193,695.2180853610845,18.091842071453996,0.03165,0.00027,0.519,0.013,0.516,0.016,3556.0,70.0,2.1297063388783495,0.10984801116319906
GJ 3470 b,13.889101368187289,0.5085254505514797,0.036770149884505915,0.006450717839405972,646.9375416028054,29.795360470127694,0.03557,0.001,0.51,0.06,0.48,0.04,3652.0,50.0,4.351998858594252,0.030264247973534438
GJ 3473 Ab,1.8592961785788475,0.2860455659352073,0.014918167075061021,0.001376367228340367,772.463119105527,23.335718814604427,0.01589,0.00062,0.36,0.016,0.364,0.012,3347.0,54.0,1.264036757027955,0.005044041328922406
GJ 357 b,2.0868613177006345,0.32100669066062154,0.015378066723481949,0.0016355957822850225,540.2556940344158,16.537232432940648,0.033,0.001,0.342,0.011,0.337,0.015,3505.0,51.0,1.166966983898026,0.03698963641209765
GJ 436 b,18.54846580886522,0.4131769285730772,0.035579865103266724,0.0027130134171072075,715.501072810074,18.107941821973633,0.02887,0.00095,0.452,0.012,0.464,0.011,3684.0,55.0,3.645048443893949,0.020176165315689623
GJ 486 b,2.819137966494765,0.12077479450597643,0.012012223514688782,0.001119208223093492,700.6934001419842,17.210271841342756,0.01734,0.00027,0.323,0.15,0.328,0.011,3340.0,54.0,1.3050616265031907,0.06501208823944435
GJ 777 Ad,11.505388318727228,1.6050334533031076,1.1604713815856906,0.14169968985459305,464.0886792497766,14.43485647338373,0.3886,0.0046,0.98,0.1197,1.168,0.0536,5549.0,111.723,2.0176165315689625,0.875981844122858
GJ 7 b,3.1687492137489075,0.6515482335190834,0.030829512740196907,0.0037783390602569027,450.6465165340091,30.091194491507263,0.0675,0.008,0.467,0.023,0.44,0.02,3650.0,75.0,1.359649362662862,0.1300241764788887
GJ 9827 b,4.869131189030417,0.36868095164982273,0.12463788901982843,0.02802839002565467,1211.9020966449475,68.44154877341361,0.01866,0.0002,0.659,0.06,0.651,0.065,4255.0,110.0,1.5290170615073455,0.05795043037895298
GJ 9827 d,3.4198336549587007,0.6197653928596158,0.12463788901982843,0.02802839002565467,702.711182966414,39.67063088270047,0.0555,0.00057,0.659,0.06,0.651,0.065,4255.0,110.0,1.9549583292830155,0.07498808108997977
Gliese 12 b,0.7087573467061249,0.12077479450597643,0.007269937263549768,0.000613863175526539,317.70889488499427,8.357841303035638,0.066,0.002,0.241,0.006,0.269,0.0068,3253.0,55.0,0.9040042959502046,0.035476424013420924
GPX-1 b,6261.219609915093,508.5254505514797,5.242412696189813,0.9003800597726822,2293.164906280329,98.9868186142796,0.0338,0.0003,1.68,0.1,1.56,0.1,7000.0,200.0,16.47720167447986,1.793436916950189
HAT-P-10 Ab,146.2010670335504,8.899195384650895,0.3620572586271453,0.024982464618133315,1031.5086872456918,20.698370469410584,0.0439,0.0009,0.82,0.03,0.81,0.02,4980.0,60.0,11.713384863830921,0.3698963641209765
HAT-P-11 b,23.392170725368064,1.4937935109949716,0.21849567449906165,0.010804428331750644,834.9998133452129,12.09418282763329,0.053,0.0008,0.809,0.025,0.683,0.009,4780.0,50.0,4.3602935043351465,0.060528495947068876
HAT-P-12 b,66.89966460414915,4.189978993900376,0.20554065754995063,0.012125537116669576,957.3476124732213,14.606139088259559,0.0384,0.0003,0.73,0.02,0.7,0.01,4650.0,60.0,10.637322713660808,0.6837478245872595
HAT-P-13 b,286.0455659352073,9.534852197840243,2.206171819419426,0.26654105620474,1600.7568138820268,57.02545033849278,0.045,0.0017,1.22,0.1,1.56,0.08,5638.0,90.0,16.1409322525517,0.44835922923754723
HAT-P-14 Ab,776.7726257173852,19.069704395680485,3.6687464917364636,0.33599940565521147,1568.1807259800955,45.82168274928573,0.0606,0.0022,1.386,0.045,1.468,0.054,6600.0,90.0,11.321070538248067,0.4259412677756699
HAT-P-15 b,618.4940792332371,20.976674835248538,1.0058524251395744,0.10317305028334386,902.8214891205928,24.07636896458089,0.0964,0.0014,1.013,0.043,1.08,0.043,5568.0,90.0,12.016027343566266,0.4819861714303632
HAT-P-16 Ab,1332.6545088514713,29.87587021989943,1.974185635086261,0.20058193090928456,1625.373623326,42.02910288645293,0.0413,0.0004,1.218,0.039,1.237,0.054,6158.0,80.0,14.448376162179958,0.739792728241953
HAT-P-17 b,181.4800201655593,5.720911318704146,0.4760514704577239,0.12611105369097855,817.2055240364258,56.78325614267688,0.0828,0.0024,0.857,0.039,0.837,0.1,5246.0,150.0,10.984801116319908,0.3362694219281604
HAT-P-18 Ab,58.16259840682549,10.488337417624269,0.25944422382651133,0.021623319195023222,842.2273730188438,18.51334020264121,0.0559,0.0007,0.77,0.031,0.717,0.026,4870.0,50.0,10.61490475219893,0.49319515216130194
HAT-P-19 b,92.80589472564503,5.720911318704146,0.3740414545863185,0.05862498314010712,1009.9318144940162,40.5173294278519,0.0466,0.0008,0.842,0.042,0.82,0.048,4990.0,130.0,12.688566187422586,0.8070466126275849
HAT-P-1 Bb,166.85991346220428,6.038739725298821,1.5813601110023985,0.09601108620526952,1325.6727367025906,22.687286736295352,0.05561,0.00083,1.151,0.052,1.174,0.03,5980.0,49.0,14.78464558410812,0.21297063388783494
HAT-P-20 Ab,2302.984634185014,59.43391203320419,0.19264194470395882,0.11735382173423078,971.5321205937297,148.11262987136234,0.0361,0.0005,0.756,0.028,0.694,0.21,4595.0,80.0,9.718186293723836,0.3698963641209765
HAT-P-21 b,1291.3368159941635,51.17037346174264,1.0681690636867192,0.17173046054302576,1282.9372098009749,52.37428870866537,0.0494,0.0007,0.947,0.042,1.105,0.083,5588.0,80.0,11.47799626848121,1.0312262272463586
HAT-P-22 Ab,682.3775889587668,19.38753280227516,0.7668588291653208,0.07970330565681064,1281.4551757237089,34.18433896943258,0.0414,0.0005,0.916,0.035,1.04,0.044,5302.0,80.0,12.105699189413777,0.6501208823944435
HAT-P-23 Ab,664.2613697828702,34.96112472541423,1.8387787238156001,0.1473271858775558,2133.1069448277494,43.777761005943375,0.0232,0.0002,1.13,0.05,1.29,0.05,5924.0,30.0,15.333885639924116,1.0088082657844812
HAT-P-24 Ab,217.71245851735225,10.488337417624269,2.5670662314714003,0.2947645739062554,1636.3939660799128,48.15120424479303,0.0465,0.0006,1.191,0.042,1.317,0.068,6373.0,80.0,13.921554067825841,0.7510017089728916
HAT-P-25 b,180.20870653918058,141.51309803627896,0.7550536690539349,0.07296867115743105,1203.2834702030334,122.2940860845515,0.0466,0.0092,1.01,0.032,0.959,0.037,5500.0,80.0,13.338687069817029,1.1769429767485615
HAT-P-26 b,18.592961785788475,2.278829675283818,0.3707277848865564,0.04792877626967083,995.2863788753572,32.82067720453055,0.0479,0.0006,0.816,0.033,0.788,0.043,5079.0,88.0,6.389119016635047,0.11208980730938681
HAT-P-27 Ab,209.76674835248537,10.488337417624269,0.5708815423638808,0.06294819309108102,1207.3303064627416,34.13202130018043,0.0403,0.0005,0.945,0.035,0.898,0.039,5300.0,90.0,11.825474671140308,0.40352330631379246
HAT-P-28 b,198.96058252826643,11.759651044002966,1.136146193293909,0.15934588995494328,1381.2297022673704,49.6976864293846,0.0434,0.0007,1.025,0.047,1.103,0.069,5680.0,90.0,13.58528464589768,1.0928756212665214
HAT-P-29 b,247.270500330657,18.43404758249114,1.8452953722719496,0.25005187707225185,1258.7994782266749,43.33050786200716,0.0667,0.0008,1.207,0.046,1.224,0.075,6087.0,88.0,12.408341669149118,1.2217788996723162
HAT-P-2 b,2777.820273637458,82.63538571461545,3.6011989430716147,0.5727942787577516,1537.0349358216754,61.81924358033401,0.0674,0.00081,1.34,0.09,1.54,0.12,6414.0,51.0,10.659740675122684,0.59407597873975
HAT-P-30 Ab,229.78993796794987,5.403082912109472,2.4216601837047773,0.18962021548523794,1712.6044562814961,81.99063414818502,0.0412,0.0036,1.18,0.03,1.33,0.03,6250.0,100.0,15.804662830623538,0.40352330631379246
HAT-P-31 b,690.0054707170389,28.922385000115405,2.245385364218971,0.6125372374900465,1465.5906125729798,223.454790965466,0.055,0.015,1.218,0.063,1.36,0.18,6065.0,100.0,11.993609382104388,2.241796146187736
HAT-P-32 Ab,238.3713049460061,41.317692857307726,2.238397845741684,0.252992353275246,1841.3795007788945,53.18500452317062,0.03427,0.00041,1.176,0.07,1.387,0.067,6001.0,88.0,20.0528665276493,0.280224518273467
HAT-P-33 Ab,242.50307423173686,37.18592357157695,4.756155162178845,1.5214934698804667,1839.6837026027247,148.6043799059576,0.0503,0.0011,1.403,0.096,1.777,0.28,6401.0,88.0,20.47880779542497,3.2506044119722173
HAT-P-34 b,1156.8954000046162,67.06179379147638,3.3859687112659094,0.524579184911756,1323.337200475669,69.58360925680589,0.0861,0.006,1.36,0.01,1.45,0.11,6509.0,51.0,12.800655994731972,1.0088082657844812
HAT-P-35 Ab,334.99114055078724,10.488337417624269,2.5513702397824183,0.3330525933918227,1578.0598674338455,52.36982942061012,0.0498,0.0006,1.236,0.048,1.435,0.084,6096.0,88.0,14.930362333610324,1.0984801116319907
HAT-P-36 b,582.2616408814442,31.465012252872807,1.044835100549812,0.1304221727632801,1826.838637724331,59.04708719615677,0.0238,0.0004,1.022,0.049,1.096,0.056,5580.0,100.0,14.168151643906493,0.7958376318966462
HAT-P-37 b,371.5414073091748,32.7363258792515,0.6314512025645673,0.07825356512982637,1276.3186275603807,40.81872952618339,0.0379,0.0006,0.929,0.043,0.877,0.044,5500.0,100.0,13.204179301045764,0.8630915162822784
HAT-P-38 b,84.86018456077818,6.356568131893496,0.6168819857607056,0.10081616746331634,1080.3258177483306,45.115274211006074,0.0523,0.0009,0.886,0.044,0.923,0.067,5330.0,100.0,9.247409103024411,0.7061657860491369
HAT-P-3 Ab,187.83658829745278,5.720911318704146,0.42657567008903435,0.04735065722116823,1145.193649132304,32.35461129143358,0.03866,0.00041,0.917,0.03,0.799,0.039,5224.0,69.0,9.269827064486288,0.6164939402016274
HAT-P-42 b,309.88269642980794,40.04637923092903,2.278724509658561,0.41332638589707654,1427.5780734151144,66.15981449394297,0.0575,0.0011,1.179,0.067,1.528,0.136,5743.0,50.0,14.313868393408693,1.6701381289098634
HAT-P-43 b,209.76674835248537,26.37975774735801,1.1104110676004262,0.08242188065457354,1358.876279478131,26.356428843425274,0.0443,0.0005,1.048,0.036500000000000005,1.104,0.028999999999999998,5645.0,74.0,14.381122277794326,0.51000862325771
