name,mass,semi_major_axis,temp_eq,star_luminosity,star_radius,star_teff,star_mass,radius
109 Psc b,1825.2885390732174,2.051,252.61281284756896,2.8428563636715425,1.79,5600.0,1.13,12.912745802041359
51 Peg b,149.37935109949714,0.052,1320.4122113030705,1.3715070141943284,1.176,5758.0,1.03,21.297063388783492
AF Lep b,1191.8565247300305,8.98,110.28584771658863,1.9904839106199046,1.25,6130.0,1.2,14.571674950220284
BD+20 594 b,22.247988461627237,0.241,588.587849262069,1.1631689770088764,1.08,5766.0,1.67,2.5780655681158966
CoRoT-12 b,291.4486488473168,0.04016,1443.4477508492898,1.1654364584558434,1.116,5675.0,1.078,16.1409322525517
CoRoT-15 b,20150.32097810238,0.045,1744.123340917577,3.126780249989194,1.46,6350.0,1.32,12.554058418651323
CoRoT-16 b,170.03819752815102,0.0618,1212.8865590934615,1.3019204880040134,1.19,5650.0,1.098,13.114507455198256
CoRoT-18 b,1102.8645708835215,0.0295,1528.515129062783,0.7901187102990088,1.0,5440.0,0.95,14.683764757529673
CoRoT-21 b,718.292198903965,0.0417,2044.4395107305054,5.069121818583183,1.95,6200.0,1.29,14.571674950220284
CoRoT-22 b,19.069704395680485,0.092,1007.0816889579663,1.4484606830659563,1.136,5939.0,1.099,4.8803902102507015
CoRoT-23 b,889.9195384650893,0.0477,1658.2381351014633,2.8337174594415813,1.61,5900.0,1.14,12.105699189413777
CoRoT-24 b,5.720911318704146,0.056,935.3921241014941,0.400603229058774,0.86,4950.0,0.91,3.698963641209765
CoRoT-24 c,27.96889978033138,0.098,707.0899824860057,0.400603229058774,0.86,4950.0,0.91,4.931951521613019
CoRoT-29 b,270.15414560547356,0.039,1219.4787879379292,0.5594029378741814,0.9,5260.0,0.976,10.088082657844813
CoRoT-31 b,266.9758615395268,0.0586,1568.5549027943464,3.467933891408137,2.15,5370.0,1.25,16.365111867170473
CoRoT-33 b,18815.441670404747,0.0579,1015.8062877931657,0.5941520962441533,0.94,5225.0,0.86,12.32987880403255
CoRoT-35 b,349.6112472541423,0.0429,1910.9418954573407,4.095133540117886,1.65,6390.0,1.01,18.831087627976984
CoRoT-36 b,216.12331648437888,0.066,1557.3928920760056,4.276063837308475,1.52,6730.0,1.32,15.804662830623538
CoRoT-3 b,6884.163286840656,0.057,1635.6945406349528,3.8808073493871142,1.525,6558.0,1.36,13.338687069817029
CoRoT-7 Ab,6.060987713760448,0.0172,1825.3911042573936,0.5441197830839305,0.87,5313.0,0.93,1.5244213794076606
Gaia DR3 2893941099963718528,17798.39076930179,0.009,4961.307566502301,8.185357625213303,1.23,8800.0,1.72,8.967184584750944
GJ 1132 b,1.6590642824242023,0.0154,578.1038515141057,0.0044200628926964435,0.207,3270.0,0.181,1.1601295056521534
GJ 1245 Ab,10647.251620921605,1.93,40.88413397781146,0.0016368633119634426,0.1641,2865.0,0.135,9.751813235916652
GJ 777 Ad,11.505388318727228,0.3886,464.0886792497766,1.1669206686392732,1.168,5549.0,0.98,2.0176165315689625
GJ 7 b,3.1687492137489075,0.0675,450.6465165340091,0.031000846889869735,0.44,3650.0,0.467,1.359649362662862
GPX-1 b,6261.219609915093,0.0338,2293.164906280329,5.271547257254885,1.56,7000.0,1.68,16.47720167447986
HAT-P-21 b,1291.3368159941635,0.0494,1282.9372098009749,1.0741053832054817,1.105,5588.0,0.947,11.47799626848121
HAT-P-25 b,180.20870653918058,0.0466,1203.2834702030334,0.7592498585764511,0.959,5500.0,1.01,13.338687069817029
HAT-P-28 b,198.96058252826643,0.0434,1381.2297022673704,1.1424602937979438,1.103,5680.0,1.025,13.58528464589768
HAT-P-29 b,247.270500330657,0.0667,1258.7994782266749,1.8555505493864148,1.224,6087.0,1.207,12.408341669149118
HAT-P-31 b,690.0054707170389,0.055,1465.5906125729798,2.2578640302072475,1.36,6065.0,1.218,11.993609382104388
HAT-P-33 Ab,242.50307423173686,0.0503,1839.6837026027247,4.782587360679389,1.777,6401.0,1.403,20.47880779542497
