7.787933131203806925e-01 7.521939448211404367e-01 7.819048144528811806e-01
8.778504464198267909e-01 8.528608989210384461e-01 8.806924081597560239e-01
9.024211043598171500e-01 8.809986649229932798e-01 9.020838786151742505e-01
9.183706908660095314e-01 8.988563452943880705e-01 9.183910602826634850e-01
9.355033896867446241e-01 9.182190601358477533e-01 9.353763322183585860e-01
9.492378895931763427e-01 9.334527501014566742e-01 9.488736950409341064e-01
9.605916028476926272e-01 9.466986189301666021e-01 9.603282695332493457e-01
9.689327182937479410e-01 9.563640170863755285e-01 9.685916122697451058e-01
9.746012828083111534e-01 9.647830574644974400e-01 9.730876123773358755e-01
9.776200177379494871e-01 9.696765249583034763e-01 9.762335750050197269e-01
9.817820681775762948e-01 9.763339333883496174e-01 9.801250407000536846e-01
9.817820681775762948e-01 9.763339333883496174e-01 9.801250407000536846e-01
9.817820681775762948e-01 9.763339333883496174e-01 9.801250407000536846e-01
